anfangen mit 3, beginnen mit 3	začít s
sich anmelden bei 3	přihlásit se k
sich anmelden für 4	přihlásit se na (kurz)
sich ärgern über 4	zlobit se na
aufhören mit 3	skončit s
aufpassen auf 4, achten auf 4	dávat pozor na
ausgeben für 4	utrácet za
sich ausruhen von 3	odpočinout si od
bestehen auf 3	trvat na
sich beteiligen an 3	podílet se na
denken an 4	myslet na
sich erinnern an 4	vzpomenout si na
sich freuen auf 4	těšit se na
gehen um 4	jít o (něco/někoho)
gehören zu 3	patřit k
greifen zu 3	sáhnout po (něčem)
glauben an 4	věřit v
halten 4 von 3	myslet si něco o někom
helfen 3 bei 3	pomáhat někomu při (něčem)
hindern 4 an 3	bránit někomu v něčem
sich interessieren für 4	zajímat se o
leiden unter 3	trpět něčím (duševně, okolnostmi)
leiden an 3	trpět (nemocí)
setzen auf 4	sázet na
sterben an 3	zemřít na
träumen von 3	snít o
teilnehmen an 3	účastnit se (něčeho)
sich trennen von 3	odloučit se od, odtrhnout se od
umgehen mit 3	zacházet s
sich unterhalten mit 3 über 4, plaudern mit 3 über 4	bavit se s někým o něčem, klábosit s někým o něčem
sich verlieben in 4	zamilovat se do
sich versprechen 4 von 3	slibovat si něco od někoho
verzichten auf 4	vzdát se (někoho, něčeho)
sich wenden an 4	obrátit se na
der Abschied von 3	rozloučení s (někým)
das Angebot an 3	nabídka něčeho
die Angst vor 3	strach z
der Anspruch auf 4	nárok na, požadavek na
die Auswahl an 3	výběr (něčeho)
der Dank für 4	dík za (něco)
der Einfluss auf 4	vliv na, působení na
die Einladung zu 3	pozvání na
das Interesse an 3	zájem o
die Sehnsucht nach 3	touha po
der Platz für 4	místo pro
die Vorliebe für 4	záliba v
der Wunsch nach 3	přání něčeho
die Zeit für 4	čas na
arm an 3	chudý něčím
bekannt durch 4, bekannt für 4	známý (něčím)
berühmt durch 4, berühmt für 4	proslulý (něčím)
betroffen von 3	postižený (něčím)
betroffen über 4	zasažený, otřesený (něčím)
gewöhnt an 4	zvyklý na
traurig über 4	smutný z něčeho
überrascht von 3, überrascht über 4	překvapený (kým) / (čím, z čeho)
unglücklich über 4	nešťastný z
verantwortlich für 4	zodpovědný za
zuständig für 4	příslušný (pro něco), mít (něco) na starosti
begeistert von 3	nadšený z
abholen 4 von 3	dojít pro, vyzvednout někoho/něco kde
abhängen von 3	záviset na někom/něčem
ankommen in 3	přijít, přijet někam
ankommen auf 4	záležet na něčem
arbeiten an 3	pracovat na něčem
anrufen 4, anrufen bei 3	zatelefonovat někomu, zavolat někam
antworten 3 auf 4	odpovědět někomu na něco
sich aufregen über 4	rozčilovat se nad někým, kvůli něčemu
ausgehen von 3	vycházet z něčeho
sich bedanken bei 3 für 4	poděkovat někomu za něco
bemerken 4 zu 3	poznamenat něco k něčemu
sich bemühen um 4	snažit se o něco
sich befassen mit 3, sich beschäftigen mit 3	zabývat se něčím
sich beschweren bei 3 über 4	stěžovat si někomu na někoho/něco (a čekat řešení)
bestehen 4	vykonat něco, obstát při něčem
bestehen aus 3, sich zusammensetzen aus 3	skládat se z něčeho
bestehen in 3	spočívat v něčem
sich bewerben um 4	ucházet se o něco
sich bewerben bei 3	ucházet se, žádat (u koho)
bitten 4 um 4	prosit někoho o něco
danken 3 für 4	děkovat někomu za něco
nachdenken über 4	přemýšlet o něčem
diskutieren mit 3 über 4	diskutovat s někým o něčem
duften nach 3	vonět něčím
duzen 4	tykat někomu
einladen 4 zu 3	pozvat někoho na něco
entgehen 3	ujít něčemu, uniknout něčemu
sich entscheiden für 4	rozhodnout se pro něco
 sich entscheiden gegen 4	rozhodnout se proti něčemu
sich entschuldigen bei 3 für 4	omluvit se někomu za něco
sich erholen von 3	zotavit se z něčeho
erkennen 4 an 3	poznat někoho/něco podle něčeho
sich erkundigen nach 3	(d)optat se na někoho/něco
erzählen über 4, erzählen von 3	vyprávět o někom/něčem
fragen 4 nach 3	ptát se někoho na někoho/něco
sich freuen über 4	těšit se z, mít radost z něčeho
sich gewöhnen an 4	zvyknout si na někoho/něco
gratulieren 3 zu 3	blahopřát někomu k něčemu
heiraten 4	vdát se za někoho, oženit se s někým
hoffen auf 4	doufat v něco
holen 4	dojít pro někoho/něco, donést něco
hören von 3	slyšet o někom/něčem
hören auf 4	poslechnout někoho, dát na někoho
sich informieren über 4	informovat se o někom/něčem
kennenlernen 4	seznámit se s někým/něčím, poznat
kommen auf 4	přijít na něco
sich kümmern um 4, sorgen für 4	starat se o někoho/něco
lachen über 4	smát se někomu/něčemu
leben von 3	žít z něčeho
leiden können 4	snášet někoho/něco
passen zu 3	hodit se k někomu/něčemu
protestieren gegen 4	protestovat proti někomu/něčemu
riechen an 3	přivonět si k něčemu
riechen nach 3	být cítit něčím, vonět/páchnout po něčem
sagen 3 4	říci někomu něco
sich äußern zu 3	vyjádřit se k něčemu
schreiben über 4	psát o něčem
schreiben an 3	pracovat na (knize, diplomové práci)
schreiben an 4	psát někomu (dopis)
siezen 4	vykat někomu
sich sorgen um 4	dělat si starosti, mít strach o někoho/něco
sprechen mit 3 über 4, sprechen mit 3 von 3	mluvit s někým o něčem
stinken nach 3	páchnout po něčem
suchen nach 3	pátrat po někom/něčem, hledat
vergessen 4	zapomenout na někoho/něco
